2016-01-06 00:38:13,853 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:38:13,854 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-06 00:38:57,003 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-01-06 00:38:57,306 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:infrastructure:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/pom.xml.
2016-01-06 00:38:57,531 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-app-server:0.0.1-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-app-server/pom.xml.
2016-01-06 00:38:57,790 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-core:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/pom.xml.
2016-01-06 00:38:57,838 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-repository:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-repository/pom.xml.
2016-01-06 00:38:57,876 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-service:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-service/pom.xml.
2016-01-06 00:38:58,147 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /infrastructure/src/main/java
2016-01-06 00:38:58,148 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /infrastructure/src/test/java
2016-01-06 00:38:58,212 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-app-server/src/main/java
2016-01-06 00:38:58,212 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /musician-app-server/src/main/resources
2016-01-06 00:38:58,213 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-app-server/src/test/java
2016-01-06 00:38:58,213 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /musician-app-server/src/test/resources
2016-01-06 00:38:58,281 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-core/src/main/java
2016-01-06 00:38:58,282 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-core/src/test/java
2016-01-06 00:38:58,319 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-repository/src/main/java
2016-01-06 00:38:58,319 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-repository/src/test/java
2016-01-06 00:38:58,363 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-service/src/main/java
2016-01-06 00:38:58,363 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-service/src/test/java
2016-01-06 00:38:58,363 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /musician-service/src/test/resources
2016-01-06 00:38:58,616 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-01-06 00:38:59,851 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:38:59,851 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/main/resources
2016-01-06 00:38:59,853 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:38:59,854 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/test/resources
2016-01-06 00:39:00,107 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:00,108 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/src/main/resources
2016-01-06 00:39:00,109 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:00,110 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/src/test/resources
2016-01-06 00:39:00,280 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:00,280 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-repository/src/main/resources
2016-01-06 00:39:00,282 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:00,289 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-repository/src/test/resources
2016-01-06 00:39:00,620 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:00,620 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-service/src/main/resources
2016-01-06 00:39:00,622 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:00,630 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-01-06 00:39:01,134 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:01,135 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2016-01-06 00:39:01,151 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:39:01,152 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-06 00:39:25,847 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-01-06 00:49:56,375 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
